m/z,RT1_center,RT2_center
227.0,7210.72,1.592
64.0,7007.488,1.68
252.0,8622.832,2.432
32.0,7582.144,1.24
32.0,7526.08,1.288
32.0,7470.016,1.424
32.0,7406.944,1.44
256.0,7389.424,1.488
132.0,6937.408,1.688
258.0,7491.04,1.336
230.0,7774.864,2.072
228.0,7757.344,1.576
228.0,7441.984,1.408
214.0,7505.056,1.696
228.0,7186.192,1.576
214.0,7445.488,2.96
214.0,7193.2,1.6
214.0,6643.072,2.04
214.0,6170.032,1.208
213.0,8093.728,1.672
226.0,7399.936,1.448
464.0,7333.36,1.224
464.0,7273.792,1.168
96.0,7130.128,1.6
464.0,6685.12,2.064
228.0,7319.344,1.68
260.0,7175.68,1.592
260.0,7067.056,1.664
259.0,7287.808,1.56
259.0,7235.248,1.6
259.0,7130.128,1.632
259.0,7077.568,1.656
217.0,7753.84,1.328
217.0,7424.464,1.92
214.0,8538.736,1.112
214.0,8440.624,2.128
227.0,7406.944,1.352
96.0,7067.056,1.64
464.0,7021.504,1.624
164.0,7144.144,1.68
164.0,7088.08,1.648
120.0,6664.096,1.056
120.0,6597.52,1.12
119.0,6758.704,1.064
117.0,6502.912,1.16
34.0,7252.768,1.256
98.0,7417.456,1.384
33.0,7368.4,1.216
33.0,7315.84,1.232
32.0,7816.912,1.12
32.0,7764.352,1.144
32.0,7708.288,1.176
192.0,7217.728,1.544
181.0,6779.728,1.424
181.0,6247.12,1.592
180.0,6692.128,2.224
180.0,6572.992,2.6
152.0,6583.504,2.384
151.0,6702.64,2.232
145.0,7778.368,1.032
145.0,6537.952,1.04
88.0,6699.136,2.224
134.0,7645.216,1.048
75.0,6695.632,2.216
74.0,6695.632,2.224
66.0,7242.256,1.552
66.0,7189.696,1.648
96.0,7480.528,1.328
50.0,8836.576,0.68
50.0,8762.992,0.672
34.0,7361.392,1.176
34.0,7305.328,1.2
32.0,7049.536,1.64
34.0,7207.216,1.296
32.0,7172.176,1.648
32.0,7238.752,1.848
32.0,7298.32,1.912
32.0,7347.376,1.896
96.0,7000.48,1.68
32.0,7645.216,1.208
161.0,7322.848,1.528
161.0,7259.776,1.552
164.0,7186.192,1.576
161.0,7137.136,1.6
91.0,6758.704,1.064
90.0,6713.152,2.192
89.0,6702.64,2.232
88.0,7547.104,2.464
32.0,7105.6,1.624
87.0,6713.152,2.192
32.0,6993.472,1.672
32.0,6937.408,1.736
126.0,6692.128,2.208
130.0,6996.976,1.68
130.0,7235.248,1.552
64.0,7053.04,1.656
165.0,7060.048,1.904
161.0,7196.704,1.584
132.0,7736.32,1.136
132.0,7673.248,1.176
165.0,7123.12,2.056
212.0,7371.904,1.952
212.0,7256.272,1.904
206.0,7634.704,2.232
206.0,7406.944,1.968
188.0,7459.504,1.016
188.0,7403.44,1.424
188.0,7140.64,2.128
187.0,7494.544,2.016
162.0,7484.032,1.344
187.0,7140.64,2.128
66.0,7081.072,1.648
162.0,7179.184,1.576
162.0,7116.112,1.616
162.0,7056.544,1.64
162.0,6993.472,1.704
182.0,6226.096,1.816
214.0,8128.768,1.168
214.0,8072.704,1.576
214.0,7883.488,2.12
214.0,7830.928,1.768
194.0,7147.648,1.584
194.0,7077.568,1.624
194.0,7014.496,1.656
192.0,7399.936,1.432
172.0,7231.744,1.08
162.0,7238.752,1.552
132.0,7007.488,1.552
189.0,7519.072,2.032
189.0,7140.64,2.144
189.0,7077.568,2.08
188.0,7491.04,2.008
164.0,7039.024,1.688
164.0,6968.944,1.664
164.0,6846.304,1.808
163.0,7042.528,1.912
106.0,6345.232,1.16
162.0,7301.824,1.52
98.0,7368.4,1.464
98.0,7308.832,1.52
98.0,7245.76,1.56
132.0,7806.4,1.112
98.0,7133.632,1.608
161.0,7385.92,1.48
196.0,7147.648,1.576
194.0,7470.016,1.336
194.0,7399.936,1.432
194.0,7343.872,1.472
179.0,6702.64,2.232
177.0,6713.152,2.192
175.0,6713.152,2.2
173.0,7410.448,1.04
144.0,7252.768,1.08
172.0,7123.12,1.08
134.0,7589.152,1.064
134.0,7526.08,1.088
98.0,7179.184,1.568
202.0,7683.76,2.48
182.0,6422.32,1.448
216.0,8027.152,2.024
464.0,4064.128,1.608
144.0,5560.336,1.088
118.0,3090.016,1.304
232.0,7420.96,1.328
259.0,7392.928,1.352
262.0,9053.824,1.16
63.0,6562.48,1.784
171.0,8090.224,1.2
174.0,6713.152,2.192
134.0,7413.952,1.096
164.0,7403.44,1.352
260.0,7123.12,1.408
258.0,7112.608,1.424
252.0,8300.464,2.192
234.0,8055.184,1.832
