,coefficient,m/z,RT1,RT2,RT1_center,RT2_center,samples,feature_index,class
128,-0.01896384817757682,168.0,"[5409.664,5434.192]","[1.672,1.512]",5423.68,1.592,"ALH 83100, LON 94101, Murchison, LEW 85311",4292,0
129,-0.01896384817757682,106.0,"[3909.952,3952.0]","[1.088,1.008]",3930.976,1.048,"ALH 83100, LON 94101, Murchison, LEW 85311",1936,0
130,0.01851313113987347,144.0,"[5742.544,5781.088]","[1.208,1.032]",5760.064,1.12,"Jarosite, Lignite, LEW 85311",3430,1
131,0.01844061840879675,440.0,"[9092.368,9092.368]","[3.192,3.192]",9092.368,3.192,Jarosite,8553,1
132,0.01844061840879675,412.0,"[10301.248,10301.248]","[3.152,3.152]",10301.248,3.152,Jarosite,8426,1
133,0.01844061840879675,456.0,"[10280.224,10280.224]","[1.576,1.576]",10280.224,1.576,Jarosite,8682,1
134,0.01844061840879675,456.0,"[10087.504,10087.504]","[1.576,1.576]",10087.504,1.576,Jarosite,8681,1
135,0.01844061840879675,456.0,"[9950.848,9999.904]","[1.584,1.584]",9975.376,1.584,Jarosite,8680,1
136,0.01844061840879675,454.0,"[9719.584,9719.584]","[1.28,1.28]",9719.584,1.28,Jarosite,8666,1
137,0.01844061840879675,130.0,"[5322.064,5322.064]","[1.136,1.136]",5322.064,1.136,Jarosite,2891,1
138,0.01844061840879675,145.0,"[4116.688,4116.688]","[1.192,1.192]",4116.688,1.192,Jarosite,3487,1
139,0.01844061840879675,174.0,"[5535.808,5535.808]","[1.136,1.136]",5535.808,1.136,Jarosite,4660,1
140,0.01844061840879675,201.0,"[5742.544,5742.544]","[1.04,1.04]",5742.544,1.04,Jarosite,5508,1
141,0.01844061840879675,55.0,"[5024.224,5024.224]","[1.224,1.224]",5024.224,1.224,Jarosite,517,1
142,0.01844061840879675,70.0,"[5024.224,5024.224]","[1.224,1.224]",5024.224,1.224,Jarosite,1017,1
143,0.01844061840879675,83.0,"[5027.728,5027.728]","[1.224,1.224]",5027.728,1.224,Jarosite,1334,1
144,0.01844061840879675,123.0,"[3447.424,3447.424]","[1.056,1.056]",3447.424,1.056,Jarosite,2642,1
145,0.01844061840879675,260.0,"[10098.016,10098.016]","[1.192,1.192]",10098.016,1.192,Jarosite,7162,1
146,0.01844061840879675,217.0,"[5742.544,5742.544]","[1.04,1.04]",5742.544,1.04,Jarosite,6052,1
147,0.01844061840879675,456.0,"[10479.952,10522.0]","[1.584,1.56]",10500.976,1.576,Jarosite,8684,1
148,0.01844061840879675,456.0,"[10346.8,10346.8]","[1.584,1.584]",10346.8,1.584,Jarosite,8683,1
149,-0.018428410831459106,464.0,"[8615.824,8647.36]","[2.304,1.08]",8633.344,1.688,"Lignite, Orgueil, Aguas Zarcas, EET 96029",8852,0
150,-0.018268427850528096,464.0,"[6222.592,6271.648]","[1.28,1.064]",6247.12,1.168,"Aguas Zarcas, EET 96029",8785,0
151,0.01824055796811327,464.0,"[7151.152,7193.2]","[2.704,2.112]",7172.176,2.408,"Iceland, Utah, Orgueil",8810,1
152,-0.018132698618018486,160.0,"[7371.904,7420.96]","[1.64,1.064]",7396.432,1.352,"Lignite, Orgueil, ALH 83100, LON 94101, Aguas Zarcas, LEW 85311",4043,0
153,-0.017972715637087477,118.0,"[3146.08,3184.624]","[1.328,1.112]",3163.6,1.216,"ALH 83100, LON 94101, Aguas Zarcas, LEW 85311",2407,0
154,-0.017972715637087477,124.0,"[3528.016,3542.032]","[2.6,1.912]",3535.024,2.256,"ALH 83100, LON 94101, Aguas Zarcas, LEW 85311",2676,0
155,-0.017972715637087477,117.0,"[3139.072,3167.104]","[1.328,1.104]",3153.088,1.216,"ALH 83100, LON 94101, Aguas Zarcas, LEW 85311",2353,0
156,0.01783668075244317,139.0,"[9821.2,9856.24]","[1.048,1.04]",9838.72,1.048,"Lignite, GSFC, Murchison Soil",3213,1
